SampleID	Line	Treatment	Timepoint	Timepoint_con	Timetreat	Sample_weight	Disease_score	Disease_quantification	Succes_rate	Plate	Row	Column	DNA_conc
U6w5	U6	Untreated	week_5	5	Untreated_w5	0.0597	0	0	NA	Plate_1	E	4	27.8
U7w1	U7	Untreated	week_1	1	Untreated_w1	0.0934	0	0.000193551	NA	Plate_1	C	10	17.2
U7w4	U7	Untreated	week_4	4	Untreated_w4	0.06584	0	2.27E-05	NA	Plate_1	F	9	15.7
U8w1	U8	Untreated	week_1	1	Untreated_w1	0.0672	0	1.45E-05	NA	Plate_2	B	12	24.5
U8w2	U8	Untreated	week_2	2	Untreated_w2	0.0612	0	0	NA	Plate_1	D	3	26.3
U8w3	U8	Untreated	week_3	3	Untreated_w3	0.0908	0	0	NA	Plate_2	E	7	27.5
U8w5	U8	Untreated	week_5	5	Untreated_w5	0.0485	0	5.58E-05	NA	Plate_2	F	11	24.5
U9w1	U9	Untreated	week_1	1	Untreated_w1	0.0584	0	4.79E-05	NA	Plate_3	B	11	23
U9w2	U9	Untreated	week_2	2	Untreated_w2	0.0834	0	0	NA	Plate_2	C	5	32.1
U9w3	U9	Untreated	week_3	3	Untreated_w3	0.0953	0	0	NA	Plate_3	F	5	22.1
U9w5	U9	Untreated	week_5	5	Untreated_w5	0.0879	0	3.73E-05	NA	Plate_3	E	4	17.2
